rank,cpu,manufacture,rating,cinebench_r23_single_core,cinebench_r23_multi_core,cores,tdp,boost_tdp,cache_l3
1,Ryzen 9 9950X3D,AMD,95,2242,42377,"16 (16P)",170 W,230 W,128MB
2,Ryzen 9 9950X,AMD,95,2243,42103,"16 (16P)",170 W,230 W,64MB
3,Core Ultra 9 285K,Intel,94,2320,41558,"24 (8P + 16E)",125 W,250 W,36MB
4,Core i9 14900KS,Intel,94,2375,42597,"24 (8P + 16E)",150 W,253 W,36MB
5,Core i9 14900K,Intel,91,2293,40400,"24 (8P + 16E)",125 W,253 W,36MB
6,Core i9 14900KF,Intel,90,2290,40616,"24 (8P + 16E)",125 W,253 W,36MB
7,Core i9 13900KS,Intel,90,2339,40404,"24 (8P + 16E)",150 W,253 W,36MB
8,Core i9 13900KF,Intel,89,2262,39012,"24 (8P + 16E)",125 W,253 W,36MB
9,Ryzen 9 9900X3D,AMD,88,2190,38356,"12 (12P)",120 W,230 W,128MB
10,Core Ultra 7 265KF,Intel,88,2309,37278,"20 (8P + 12E)",125 W,250 W,30MB
11,Core Ultra 7 265K,Intel,87,2304,36309,"20 (8P + 12E)",125 W,250 W,30MB
12,Ryzen 9 9900X,AMD,87,2232,33042,"12 (12P)",120 W,,64MB
13,Ryzen 9 7950X,AMD,87,2009,36742,"16 (16P)",170 W,230 W,64MB
14,Core Ultra 9 285,Intel,86,2180,33289,"24 (8P + 16E)",65 W,182 W,36MB
15,Core i9 13900K,Intel,86,2076,37486,"24 (8P + 16E)",125 W,253 W,36MB
16,Core i7 14700KF,Intel,85,2160,35265,"20 (8P + 12E)",125 W,253 W,33MB
17,Ryzen 9 7950X3D,AMD,85,2053,36291,"16 (16P)",120 W,162 W,128MB
18,Core i9 14900F,Intel,84,2240,36660,"24 (8P + 16E)",65 W,219 W,36MB
19,Core i7 14700K,Intel,83,2072,34895,"20 (8P + 12E)",125 W,253 W,33MB
20,Core Ultra 7 265,Intel,80,2156,28684,"20 (8P + 12E)",65 W,182 W,30MB
21,Core i9 14900,Intel,80,2212,31070,"24 (8P + 16E)",65 W,219 W,36MB
22,Core i9 13900,Intel,80,2191,38496,"24 (8P + 16E)",65 W,219 W,36MB
23,Ryzen 7 9800X3D,AMD,79,2073,23334,"8 (8P)",120 W,162 W,96MB
24,Ryzen 9 7900X3D,AMD,79,2041,27817,"12 (12P)",120 W,162 W,128MB
25,Core i9 13900F,Intel,79,2008,35774,"24 (8P + 16E)",65 W,219 W,36MB
26,Ryzen 9 7900X,AMD,79,2016,29300,"12 (12P)",170 W,230 W,64MB
27,Core i7 13700K,Intel,79,2082,30468,"16 (8P + 8E)",125 W,253 W,30MB
28,Core i7 14700,Intel,78,2106,32772,"20 (8P + 12E)",65 W,219 W,33MB
29,Ryzen 7 9700X,AMD,77,2213,20228,"8 (8P)",65 W,142 W,32MB
30,Core i7 14700F,Intel,77,2098,33114,"20 (8P + 12E)",65 W,219 W,33MB
31,Core i7 13700KF,Intel,77,1978,30435,"16 (8P + 8E)",125 W,253 W,30MB
32,Core Ultra 5 245KF,Intel,76,2130,25182,"14 (6P + 8E)",125 W,159 W,24MB
33,Core Ultra 5 245K,Intel,76,2118,25085,"14 (6P + 8E)",125 W,159 W,24MB
34,Ryzen 9 7900,AMD,76,1959,24444,"12 (12P)",65 W,142 W,64MB
35,Core Ultra 5 235,Intel,74,2108,22689,"14 (6P + 8E)",65 W,121 W,24MB
36,Ryzen 7 7800X,AMD,73,1971,22564,"8 (8P)",105 W,,40MB
37,Core i9 12900KF,Intel,73,1959,27341,"16 (8P + 8E)",125 W,241 W,30MB
38,Ryzen 5 9600X,AMD,72,2154,17447,"6 (6P)",65 W,142 W,32MB
39,Core i5 14600KF,Intel,72,2063,24119,"14 (6P + 8E)",125 W,181 W,24MB
40,Core i5 14600K,Intel,72,2072,25270,"14 (6P + 8E)",125 W,181 W,24MB
41,Core i7 13700,Intel,72,2008,25369,"16 (8P + 8E)",65 W,219 W,30MB
42,Core i9 12900K,Intel,72,1995,27341,"16 (8P + 8E)",125 W,241 W,30MB
43,Core i7 13700F,Intel,71,1997,25699,"16 (8P + 8E)",65 W,219 W,30MB
44,Core i5 13600K,Intel,71,1998,23396,"14 (6P + 8E)",125 W,181 W,24MB
45,Ryzen 7 7700X,AMD,70,2006,19872,"8 (8P)",105 W,142 W,32MB
46,Core Ultra 5 225,Intel,69,2081,17050,"10 (6P + 4E)",65 W,121 W,20MB
47,Ryzen 7 7700,AMD,69,1930,18760,"8 (8P)",65 W,142 W,32MB
48,Core i5 13600KF,Intel,69,1818,23710,"14 (6P + 8E)",125 W,181 W,24MB
49,Core i7 12700KF,Intel,69,1949,22784,"12 (8P + 4E)",125 W,190 W,25MB
50,Core i5 14600,Intel,68,1992,22768,"14 (6P + 8E)",65 W,154 W,24MB
51,Core i7 12700K,Intel,68,1935,22970,"12 (8P + 4E)",125 W,190 W,25MB
52,Core i5 14500,Intel,67,1937,22092,"14 (6P + 8E)",65 W,154 W,24MB
53,Ryzen Threadripper 3990X,AMD,67,1254,74422,"64 (64P)",280 W,,128MB
54,Core i5 13600,Intel,66,1948,22117,"14 (6P + 8E)",65 W,154 W,24MB
55,Ryzen 7 7800X3D,AMD,65,1785,18193,"8 (8P)",120 W,162 W,96MB
56,Ryzen 5 7600X,AMD,65,1951,15210,"6 (6P)",105 W,116 W,32MB
57,Ryzen 9 5950X,AMD,65,1614,26017,"16 (16P)",105 W,142 W,64MB
58,Ryzen 7 8700F,AMD,64,1781,17662,"8 (8P)","45-65 W",88 W,16MB
59,Ryzen 7 8700G,AMD,64,1821,18049,"8 (8P)","45-65 W",88 W,16MB
60,Core i7 12700F,Intel,64,1850,20658,"12 (8P + 4E)",65 W,180 W,25MB
61,Core i5 13500,Intel,63,1876,21007,"14 (6P + 8E)",65 W,154 W,24MB
62,Core i7 12700,Intel,63,1883,19714,"12 (8P + 4E)",65 W,180 W,25MB
63,Ryzen 5 7500F,AMD,62,1819,13809,"6 (6P)",65 W,,32MB
64,Ryzen 5 7600,AMD,62,1858,14344,"6 (6P)",65 W,88 W,32MB
65,Core i5 12600KF,Intel,62,1902,17693,"10 (6P + 4E)",125 W,150 W,20MB
66,Core i5 12600K,Intel,61,1886,17333,"10 (6P + 4E)",125 W,150 W,20MB
67,Ryzen 5 8600G,AMD,60,1782,13628,"6 (6P)","45-65 W",88 W,16MB
68,Ryzen 9 5900X,AMD,60,1568,20634,"12 (12P)",105 W,142 W,64MB
69,Ryzen 5 7600X3D,AMD,58,1702,13469,"6 (6P)",65 W,88 W,96MB
70,Ryzen 5 8500G,AMD,58,1794,11520,"6 (2P + 4E)","45-65 W",88 W,16MB
71,Core i5 14400,Intel,58,1816,15926,"10 (6P + 4E)",65 W,148 W,20MB
72,Core i5 14400F,Intel,58,1816,16252,"10 (6P + 4E)",65 W,148 W,20MB
73,Ryzen 9 5900,AMD,58,1594,20955,"12 (12P)",65 W,88 W,32MB
74,Core i5 13400F,Intel,57,1744,15911,"10 (6P + 4E)",65 W,148 W,20MB
75,Core i5 13400,Intel,57,1786,15953,"10 (6P + 4E)",65 W,154 W,20MB
76,Core i5 12600,Intel,57,1861,13491,"6 (6P)",65 W,117 W,18MB
77,Ryzen 5 8400F,AMD,56,1601,10972,"6 (6P)","45-65 W",,16MB
