"name","price","tdp","date","socket","speed","turbo","cores"
"AMD A6-9500E",58.14,35,"2018-10-01","AM4",3000,3400,2
"AMD Athlon 200GE",123.89,35,"2018-09-01","AM4",3200,3200,2
"AMD Athlon 240GE",135.99,35,"2019-01-01","AM4",3500,3500,2
"AMD Athlon 3000G",89.99,35,"2019-11-01","AM4",3500,3500,2
"AMD Ryzen 3 2200G",248.02,65,"2018-02-01","AM4",3500,3700,4
"AMD Ryzen 3 2300X",178.09,65,"2019-01-01","AM4",3500,4000,4
"AMD Ryzen 3 3100",134.99,65,"2020-05-01","AM4",3600,3900,4
"AMD Ryzen 3 3200G",94.99,65,"2019-07-01","AM4",3600,4000,4
"AMD Ryzen 3 3300X",235,65,"2020-05-01","AM4",3800,4300,4
"AMD Ryzen 3 4100",113.5,65,"2022-04-01","AM4",3800,4000,4
"AMD Ryzen 3 4300G",149.66,65,"2020-07-01","AM4",3800,4000,4
"AMD Ryzen 5 2400G",121.3,65,"2018-02-01","AM4",3600,3900,4
"AMD Ryzen 5 2600",79.89,65,"2018-04-01","AM4",3400,3900,6
"AMD Ryzen 5 2600X",203,95,"2018-04-01","AM4",3600,4200,6
"AMD Ryzen 5 3400G",144.99,65,"2019-07-01","AM4",3700,4200,4
"AMD Ryzen 5 3500X",179.99,65,"2019-10-01","AM4",3600,4100,6
"AMD Ryzen 5 3600",114.73,65,"2019-06-01","AM4",3600,4200,6
"AMD Ryzen 5 3600X",230,95,"2019-07-01","AM4",3800,4400,6
"AMD Ryzen 5 3600XT",349,95,"2020-07-01","AM4",3800,4500,6
"AMD Ryzen 5 4500",79,65,"2022-04-01","AM4",3600,4100,6
"AMD Ryzen 5 4600G",104,65,"2020-07-01","AM4",3700,4200,6
"AMD Ryzen 5 5500",81.82,65,"2022-04-01","AM4",3600,4200,6
"AMD Ryzen 5 5600",139,65,"2022-04-01","AM4",3500,4400,6
"AMD Ryzen 5 5600G",127.99,65,"2021-05-01","AM4",3900,4400,6
"AMD Ryzen 5 5600X",147.99,65,"2020-10-01","AM4",3700,4600,6
"AMD Ryzen 5 7600X",247,105,"2022-09-01","AM5",4700,5300,6
"AMD Ryzen 5 PRO 4650G",144.49,65,"2020-07-01","AM4",3700,4200,6
"AMD Ryzen 7 2700",143.99,65,"2018-04-01","AM4",3200,4100,8
"AMD Ryzen 7 2700X",128.86,105,"2018-04-01","AM4",3700,4300,8
"AMD Ryzen 7 3700X",260,65,"2019-07-01","AM4",3600,4400,8
"AMD Ryzen 7 3800X",291,105,"2019-07-01","AM4",3900,4500,8
"AMD Ryzen 7 3800XT",450,105,"2020-07-01","AM4",3900,4700,8
"AMD Ryzen 7 4700G",237.3,65,"2020-09-01","AM4",3600,4400,8
"AMD Ryzen 7 5700G",178.61,65,"2021-05-01","AM4",3800,4600,8
"AMD Ryzen 7 5700X",199.99,65,"2022-04-01","AM4",3400,4600,8
"AMD Ryzen 7 5800X",239.99,105,"2020-11-01","AM4",3800,4700,8
"AMD Ryzen 7 5800X3D",366,105,"2022-04-01","AM4",3400,4500,8
"AMD Ryzen 7 7700X",340.01,105,"2022-10-01","AM5",4500,5400,8
"AMD Ryzen 7 PRO 3700",329.99,65,"2019-09-01","AM4",3600,4400,8
"AMD Ryzen 7 PRO 4750G",259.99,65,"2020-07-01","AM4",3600,4400,8
"AMD Ryzen 9 3900",504.74,65,"2019-10-01","AM4",3100,4300,12
"AMD Ryzen 9 3900X",380,105,"2019-07-01","AM4",3800,4600,12
"AMD Ryzen 9 3900XT",369.99,105,"2020-07-01","AM4",3800,4700,12
"AMD Ryzen 9 3950X",541.3,105,"2019-11-01","AM4",3500,4700,16
"AMD Ryzen 9 5900X",340,105,"2020-11-01","AM4",3700,4800,12
"AMD Ryzen 9 5950X",498.99,105,"2020-10-01","AM4",3400,4900,16
"AMD Ryzen 9 7900X",439.99,170,"2022-09-01","AM5",4700,5600,12
"AMD Ryzen 9 7950X",573.84,170,"2022-09-01","AM5",4500,5700,16
"Intel Celeron G4900 @ 3.10GHz",86.38,54,"2018-06-01","LGA1151-2",3100,3100,2
"Intel Celeron G4900T @ 2.90GHz",68.95,35,"2018-03-01","LGA1151-2",2900,2900,2
"Intel Celeron G4920 @ 3.20GHz",126.89,54,"2018-08-01","LGA1151-2",3200,3200,2
"Intel Celeron G4930 @ 3.20GHz",52.99,54,"2019-09-01","LGA1151-2",3200,3200,2
"Intel Celeron G5900 @ 3.40GHz",72.49,58,"2020-06-01","LGA1200",3400,3400,2
"Intel Celeron G5900T @ 3.20GHz",42,35,"2021-10-01","LGA1200",3200,3200,2
"Intel Celeron G5905 @ 3.50GHz",36.99,58,"2020-09-01","LGA1200",3500,3500,2
"Intel Celeron G5905T @ 3.30GHz",42,35,"2021-05-01","LGA1200",3300,3300,2
"Intel Celeron G5920 @ 3.50GHz",53,58,"2020-12-01","LGA1200",3500,3500,2
"Intel Celeron G5925 @ 3.60GHz",64.99,58,"2021-06-01","LGA1200",3600,3600,2
"Intel Celeron G6900T",42,35,"2022-07-01","LGA1700",2800,2800,2
"Intel Core i3-10100 @ 3.60GHz",104,65,"2020-05-01","LGA1200",3600,4300,4
"Intel Core i3-10100F @ 3.60GHz",75.99,65,"2020-10-01","LGA1200",3600,4300,4
"Intel Core i3-10105 @ 3.70GHz",114.99,65,"2021-04-01","LGA1200",3700,4400,4
"Intel Core i3-10105F @ 3.70GHz",85.19,0,"2021-03-01","LGA1200",3700,4400,4
"Intel Core i3-10105T @ 3.00GHz",122,35,"2021-06-01","LGA1200",3000,3900,4
"Intel Core i3-10300 @ 3.70GHz",169.99,65,"2020-06-01","LGA1200",3700,4400,4
"Intel Core i3-10300T @ 3.00GHz",193.97,35,"2020-09-01","LGA1200",3000,3900,4
"Intel Core i3-10305 @ 3.80GHz",169.99,65,"2021-06-01","LGA1200",3800,4500,4
