"name","price","chipset","memory","core_clock","boost_clock","color","length"
"MSI GeForce RTX 3060 Ventus 2X 12G",288," RTX 3060 12GB",12,1320,1777,"Black",235
"Gigabyte WINDFORCE OC",581.19," RTX 4070",12,1920,2490,"Black",261
"Asus ROG STRIX GAMING OC",1979.99," RTX 4090",24,2235,2640,"Black",358
"Gigabyte WINDFORCE OC",799.99," RTX 4070 Ti SUPER",16,2340,2625,"Black",261
"Asus DUAL OC",309.99," RTX 4060",8,1830,2535,"Black",227
"Gigabyte GAMING OC",499," RX 7800 XT",16,1295,2565,"Black",302
"Gigabyte WINDFORCE OC",599.99," RTX 4070 SUPER",12,1980,2505,"Black",261
"ASRock Challenger D",219.99," RX 6600",8,1626,NA,"Black",269
"XFX Speedster SWFT 309",299.99," RX 6700 XT",12,2321,2581,"Black",304
"NVIDIA Founders Edition",1959.99," RTX 4090",24,2230,2520,"Black / Silver",304
"Gigabyte EAGLE",399.99," RTX 4060 Ti",8,2310,NA,"Black",272
"XFX Speedster SWFT 210 Core",219.99," RX 6650 XT",8,2055,2635,"Black / Silver",241
"Asus ROG STRIX GAMING OC",1979.99," RTX 4090",24,2235,2640,"White",358
"Gigabyte AERO OC",319.99," RTX 4060",8,1830,NA,"White",281
"Asus TUF GAMING",1369," RTX 4080 SUPER",16,2210,2580,"Black",348
"Gigabyte EAGLE",199.99," RX 6600",8,1626,2491,"Black / Silver",282
"Gigabyte GAMING OC",409.99," RX 7700 XT",12,1700,2599,"Black",302
"XFX Speedster MERC 310 Black Edition",916.94," RX 7900 XTX",24,2300,2615,"Black / Silver",344
"XFX Speedster SWFT 319",359.99," RX 6800",16,1700,2105,"Black",340
"Asus DUAL OC",609," RTX 4070 SUPER",12,1980,2550,"Black",267
"MSI VENTUS 2X BLACK OC",293," RTX 4060",8,1830,2505,"Black",199
"XFX GTS XXX",129.99," RX 580",8,1366,1386,"Black / Red",270
"Gigabyte WINDFORCE OC",299.99," RTX 4060",8,1830,NA,"Black",192
"Sapphire PULSE",699.99," RX 7900 XT",20,2000,2450,"Black / Red",313
"Asus TUF GAMING OC",839.99," RTX 4070 Ti SUPER",16,2340,2670,"Black",305
"Asus DUAL OC",604.47," RTX 4070",12,2520,2550,"Black",267
"MSI RTX 3060 Ventus 3X 12G OC",299.99," RTX 3060 12GB",12,1320,1807,"Black",316
"ASRock Challenger OC",399.99," RX 7700 XT",12,1700,2584,"Black",266
"Asus ROG Matrix Platinum",4699," RTX 4090",24,2670,2700,"Black / Silver",286
"Asus DUAL OC",569.99," RTX 4070",12,2520,2550,"White",267
"Zotac GAMING Trinity",1087.93," RTX 4080 SUPER",16,2210,2550,"Black",307
"XFX Speedster QICK 319 Core",299.99," RX 6750 XT",12,2150,2600,"Black",323
"Asus DUAL OC",384.99," RTX 4060 Ti",8,2310,2595,"Black",227
"MSI VENTUS 3X OC",1029.99," RTX 4080 SUPER",16,2210,2595,"Black",322
"Zotac GAMING Trinity OC",839.99," RTX 4070 Ti SUPER",16,2340,2625,"White",307
"Sapphire PULSE",519.99," RX 7800 XT",16,1295,NA,"Black / Red",280
"Gigabyte GAMING OC",549.99," RX 7900 GRE",16,1270,2391,"Black",302
"Gigabyte AERO OC",679.99," RTX 4070 SUPER",12,1980,2565,"White / Silver",300
"Gigabyte GAMING OC",329.99," RX 7600 XT",16,1720,NA,"Black / Gray",281
"Asus TUF GAMING OC",1779," RTX 4090",24,2235,2595,"Black",348
"Sapphire NITRO+",1029.99," RX 7900 XTX",24,2300,2680,"Silver / Black",320
"NVIDIA Founders Edition",485," RTX 3060 Ti",8,1410,1670,"Black / Silver",242
"Sapphire PURE",539.99," RX 7800 XT",16,1295,2475,"White",320
"Sapphire PULSE",929.99," RX 7900 XTX",24,2300,2525,"Black / Red",313
"Gigabyte WINDFORCE V2",1233," RTX 4080 SUPER",16,2210,2550,"Black",330
"Sapphire PULSE",399.99," RX 7700 XT",12,1700,2544,"Black / Red",280
"Asus ProArt OC",1149.99," RTX 4080 SUPER",16,2210,2640,"Black / Gold",300
"ASRock Challenger OC",499.99," RX 7800 XT",16,1295,2475,"Black",267
"Gigabyte GAMING OC",1799.99," RTX 4090",24,2235,NA,"Black",340
"Sapphire PULSE",549.99," RX 7900 GRE",16,1270,2290,"Black / Red",320
"PowerColor Fighter",199.99," RX 6600",8,1626,2491,"Black",200
"NVIDIA Founders Edition",714.99," RTX 4070",12,1920,2480,"Black / Silver",244
"Asus ROG STRIX GAMING OC",1299.99," RTX 4080 SUPER",16,2210,2670,"White",358
"Zotac GAMING Trinity",779.99," RTX 4070 Ti SUPER",16,2340,2610,"Black",307
"Asus TUF GAMING OC",1099.99," RTX 4080 SUPER",16,2210,2640,"Black",348
"MSI VENTUS 2X BLACK OC",479.06," RTX 4060 Ti",16,2310,2625,"Black",199
"XFX Speedster SWFT 210",199.99," RX 6600",8,1626,2491,"Black",241
"MSI VENTUS 2X OC",179.99," RTX 3050 6GB",6,1040,1492,"Black",189
