"product","product.href","Manufacturer","name","socket","image","form_factor","chipset","max_memory","memory_type","memory_slots","m2_slot","price","category"
"Gigabyte Z590 AORUS TACHYON","https://pcpartpicker.com/product/9ycG3C/gigabyte-z590-aorus-tachyon-eatx-lga1200-motherboard-z590-aorus-tachyon","Gigabyte","Gigabyte Z590 AORUS TACHYON EATX LGA1200 Motherboard","LGA1200","https://m.media-amazon.com/images/I/51aOzK1LHZL.jpg","EATX","Intel Z590",64,"DDR4","2","2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
                        
                            2280/22110 M-key
                        
                            2280/22110 M-key",549.49,"MOBO"
"ASRock Z270 Killer SLI","https://pcpartpicker.com/product/6Y8H99/asrock-z270-killer-sli-atx-lga1151-motherboard-z270-killer-sli","ASRock","ASRock Z270 Killer SLI ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/5de9e76c4720d5436cac94b284920371.256p.jpg","ATX","Intel Z270",64,"DDR4","4","",700,"MOBO"
"ASRock Z590 PG Velocita","https://pcpartpicker.com/product/qRJgXL/asrock-z590-pg-velocita-atx-lga1200-motherboard-z590-pg-velocita","ASRock","ASRock Z590 PG Velocita ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/ffa59b5e13c0dd4b2dffc217094aa355.256p.jpg","ATX","Intel Z590",128,"DDR4","4","",636.87,"MOBO"
"Asus ROG MAXIMUS XII APEX","https://pcpartpicker.com/product/HJZzK8/asus-rog-maximus-xii-apex-atx-lga1200-motherboard-rog-maximus-xii-apex","Asus","Asus ROG MAXIMUS XII APEX ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/7e4f7ddd1020e66a1d84343950c2f955.256p.jpg","ATX","Intel Z490",64,"DDR4","2","",509.99,"MOBO"
"Gigabyte Z490 VISION D","https://pcpartpicker.com/product/gBYQzy/gigabyte-z490-vision-d-atx-lga1200-motherboard-z490-vision-d","Gigabyte","Gigabyte Z490 VISION D ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/8c5542652068cd628b91edcff90853c1.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",736.23,"MOBO"
"Gigabyte Z590 AORUS XTREME","https://pcpartpicker.com/product/ttgFf7/gigabyte-z590-aorus-xtreme-eatx-lga1200-motherboard-z590-aorus-xtreme","Gigabyte","Gigabyte Z590 AORUS XTREME EATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/365363bdf35b2b01f55e8104d08abe13.256p.jpg","EATX","Intel Z590",128,"DDR4","4","2242/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
                        
                            2242/2280/22110 M-key
                        
                            2242/2260/2280/22110 M-key",699.99,"MOBO"
"Asus Pro H510M-CT/CSM","https://pcpartpicker.com/product/kL7G3C/asus-pro-h510m-ctcsm-micro-atx-lga1200-motherboard-pro-h510m-ctcsm","Asus","Asus Pro H510M-CT/CSM Micro ATX LGA1200 Motherboard","LGA1200","https://m.media-amazon.com/images/I/418H3DgepTS.jpg","Micro ATX","Intel H510",64,"DDR4","2","",183.48,"MOBO"
"ASRock Z590 Taichi","https://pcpartpicker.com/product/HGGbt6/asrock-z590-taichi-atx-lga1200-motherboard-z590-taichi","ASRock","ASRock Z590 Taichi ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/c155cb72633e218428e6a9c3cea625c9.256p.jpg","ATX","Intel Z590",128,"DDR4","4","",794.25,"MOBO"
"Supermicro MBD-X11SAE-F-O","https://pcpartpicker.com/product/kd98TW/supermicro-motherboard-mbdx11saefo","Supermicro","Supermicro MBD-X11SAE-F-O ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/eb546613effc9e6b5ec11562cf081de0.256p.jpg","ATX","Intel C236",64,"DDR4","4","",409.99,"MOBO"
"ASRock Z490M Pro4","https://pcpartpicker.com/product/FZPgXL/asrock-z490m-pro4-micro-atx-lga1200-motherboard-z490m-pro4","ASRock","ASRock Z490M Pro4 Micro ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/3db97ce07c9a42909760758bb092a3e5.256p.jpg","Micro ATX","Intel Z490",128,"DDR4","4","",405,"MOBO"
"Supermicro MBD-X11SSH-LN4F","https://pcpartpicker.com/product/ptnG3C/supermicro-motherboard-mbdx11sshln4f","Supermicro","Supermicro MBD-X11SSH-LN4F Micro ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/bc9e0d0107a32a1bd23e905e5d195ee5.256p.jpg","Micro ATX","Intel C236",64,"DDR4","4","",349,"MOBO"
"ASRock Z590 Phantom Gaming-ITX/TB4","https://pcpartpicker.com/product/9CbTwP/asrock-z590-phantom-gaming-itxtb4-mini-itx-lga1200-motherboard-z590-phantom-gaming-itxtb4","ASRock","ASRock Z590 Phantom Gaming-ITX/TB4 Mini ITX LGA1200 Motherboard","LGA1200","https://m.media-amazon.com/images/I/51Hz0KYjHFS.jpg","Mini ITX","Intel Z590",64,"DDR4","2","",519.99,"MOBO"
"ASRock Fatal1ty Z370 Gaming K6","https://pcpartpicker.com/product/9pZ2FT/asrock-fatal1ty-z370-gaming-k6-atx-lga1151-motherboard-fatal1ty-z370-gaming-k6","ASRock","ASRock Fatal1ty Z370 Gaming K6 ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/a8ecd765a4804a78ecadaaf356a23644.256p.jpg","ATX","Intel Z370",64,"DDR4","4","",418,"MOBO"
"Asus PRIME B860M-A-CSM","https://pcpartpicker.com/product/PzYfrH/asus-prime-b860m-a-csm-micro-atx-lga1851-motherboard-prime-b860m-a-csm","Asus","Asus PRIME B860M-A-CSM Micro ATX LGA1851 Motherboard","LGA1851","https://m.media-amazon.com/images/I/516d2cZGJmL.jpg","Micro ATX","Intel B860",256,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",261.48,"MOBO"
