name,price,image,category,specifications,uid
AMD A6-9500E,58.14,,CPU,"{'tdp': 35, 'date': '2018-10-01', 'socket': 'AM4', 'speed': 3000, 'turbo': 3400, 'cores': 2}",a50cc26a-ca65-4bc2-befc-8904bbff76ab
AMD Athlon 200GE,123.89,,CPU,"{'tdp': 35, 'date': '2018-09-01', 'socket': 'AM4', 'speed': 3200, 'turbo': 3200, 'cores': 2}",114d0e81-66d7-4fdb-acd2-d53b30679305
AMD Athlon 240GE,135.99,,CPU,"{'tdp': 35, 'date': '2019-01-01', 'socket': 'AM4', 'speed': 3500, 'turbo': 3500, 'cores': 2}",abd68762-b6e5-47fb-a988-a6373c952a8b
AMD Athlon 3000G,89.99,,CPU,"{'tdp': 35, 'date': '2019-11-01', 'socket': 'AM4', 'speed': 3500, 'turbo': 3500, 'cores': 2}",a1454ed4-a8bd-4129-b6b9-544595f07214
AMD Ryzen 3 2200G,248.02,,CPU,"{'tdp': 65, 'date': '2018-02-01', 'socket': 'AM4', 'speed': 3500, 'turbo': 3700, 'cores': 4}",403ec213-1090-48d4-aa42-169dd47da120
AMD Ryzen 3 2300X,178.09,,CPU,"{'tdp': 65, 'date': '2019-01-01', 'socket': 'AM4', 'speed': 3500, 'turbo': 4000, 'cores': 4}",210e620f-4bfd-4f1c-a3fa-06195690156e
AMD Ryzen 3 3100,134.99,,CPU,"{'tdp': 65, 'date': '2020-05-01', 'socket': 'AM4', 'speed': 3600, 'turbo': 3900, 'cores': 4}",8e7a2b04-3e93-466e-8e9d-1287b00c6474
AMD Ryzen 3 3200G,94.99,,CPU,"{'tdp': 65, 'date': '2019-07-01', 'socket': 'AM4', 'speed': 3600, 'turbo': 4000, 'cores': 4}",7bf4e565-6b5c-435d-9493-0ae23850341a
AMD Ryzen 3 3300X,235.0,,CPU,"{'tdp': 65, 'date': '2020-05-01', 'socket': 'AM4', 'speed': 3800, 'turbo': 4300, 'cores': 4}",7eb78ded-2726-4b69-a164-63a17729a7c9
AMD Ryzen 3 4100,113.5,,CPU,"{'tdp': 65, 'date': '2022-04-01', 'socket': 'AM4', 'speed': 3800, 'turbo': 4000, 'cores': 4}",d420f232-de85-47f3-af34-69de0cbed148
